"","Seg.1","Seg.2","Seg.3","Seg.4","Seg.5","Seg.6"
"Q1.1",NA,NA,-0.33,NA,NA,NA
"Q1.2",NA,NA,NA,NA,NA,NA
"Q1.3",0.25,NA,NA,NA,-0.22,-0.16
"Q1.4",NA,NA,NA,NA,NA,NA
"Q1.5",0.14,NA,-0.1,NA,NA,NA
"Q1.6",0.13,NA,-0.13,NA,NA,NA
"Q1.7",0.18,NA,-0.11,NA,-0.14,NA
"Q1.8",NA,NA,NA,-0.13,NA,NA
"Q1.9",0.37,NA,NA,0.13,-0.39,-0.31
"Q1.10",NA,0.19,-0.13,-0.12,0.14,-0.31
"Q1.11",NA,NA,NA,NA,NA,NA
"Q1.12",NA,NA,NA,-0.11,NA,NA
"Q1.13",0.24,NA,-0.1,NA,-0.18,-0.15
"Q1.14",0.21,NA,-0.12,NA,-0.15,-0.11
"Q1.15",0.15,NA,-0.12,NA,NA,NA
"Q1.16",0.24,NA,-0.13,NA,-0.22,NA
"Q1.17",0.2,NA,-0.11,NA,-0.18,NA
"Q1.18",NA,NA,-0.11,NA,NA,NA
"Q1.19",NA,NA,-0.1,NA,NA,NA
"Q1.20",0.21,NA,-0.14,NA,-0.14,NA
"Q1.21",NA,NA,-0.14,NA,NA,NA
"Q1.22",0.1,NA,-0.1,NA,NA,NA
"Q1.23",0.15,NA,-0.11,NA,-0.11,NA
"Q1.24",NA,NA,NA,NA,NA,NA
"Q1.25",0.14,NA,-0.11,NA,-0.1,NA
"Q1.26",0.27,NA,NA,NA,-0.23,-0.15
"Q1.27",0.37,NA,-0.11,-0.14,-0.25,-0.11
"Q1.28",0.24,NA,-0.11,NA,-0.19,NA
"Q1.29",NA,NA,NA,NA,NA,NA
"Q2",0.17,-0.1,NA,NA,-0.13,NA
"Q2.Cluster",NA,NA,NA,NA,NA,0.11
"Q3",NA,NA,NA,NA,NA,NA
"Q4",0.14,NA,NA,NA,NA,-0.12
"Q5",0.26,NA,NA,NA,-0.19,-0.1
"Q6",NA,NA,NA,NA,NA,NA
"Q7.1",0.1,NA,NA,NA,NA,NA
"Q7.2",NA,NA,NA,NA,NA,NA
"Q7.3",NA,NA,NA,NA,NA,NA
"Q7.4",NA,NA,NA,NA,NA,NA
"Q8",NA,NA,NA,NA,NA,NA
"Q9.1",NA,NA,NA,NA,NA,NA
"Q9.2",NA,NA,NA,NA,NA,NA
"Q9.3",NA,NA,NA,NA,NA,NA
"Q9.4",NA,NA,NA,NA,NA,NA
"Q9.5",0.1,NA,NA,NA,NA,-0.1
"Q10",0.15,NA,-0.19,NA,NA,NA
"Q11",NA,NA,NA,NA,NA,NA
"Q12",NA,NA,NA,NA,NA,NA
"Q13",0.11,NA,NA,NA,-0.13,NA
"Q14",-0.14,NA,NA,NA,NA,0.11
"Q15",-0.15,NA,NA,NA,0.13,0.15
"Q16",NA,NA,NA,NA,NA,NA
"Q16.1",NA,NA,NA,NA,NA,NA
"Q16.2",0.11,NA,NA,NA,NA,NA
"Q16.3",NA,NA,NA,NA,NA,NA
"Q16.4",NA,NA,NA,NA,NA,NA
"Q16.5",NA,NA,NA,NA,NA,NA
"Q16.6",NA,NA,NA,NA,NA,NA
"Q16.7",NA,NA,NA,NA,NA,NA
"Q16.8",NA,NA,NA,NA,NA,NA
"Q16.9",NA,NA,NA,NA,NA,NA
"Q16.10",NA,NA,NA,NA,NA,NA
"Q16.11",NA,NA,NA,NA,NA,NA
"Q16.12",NA,NA,NA,NA,NA,NA
"Q16.13",0.1,NA,NA,NA,NA,NA
"Q16.14",0.1,NA,NA,NA,NA,NA
"Q16.15",NA,NA,NA,NA,NA,NA
"Q16.16",0.11,NA,NA,NA,NA,NA
"Q16.17",NA,NA,NA,NA,NA,NA
"Q16.18",NA,NA,NA,NA,NA,NA
"Q16.19",NA,NA,NA,NA,NA,NA
"Q16.20",NA,NA,NA,NA,NA,NA
"Q16.21",NA,NA,NA,NA,NA,NA
"Q16.22",NA,NA,NA,NA,NA,NA
"Q16.23",NA,NA,NA,NA,NA,NA
"Q16.24",NA,NA,NA,NA,NA,NA
"Q16.25",0.11,NA,NA,NA,NA,NA
"Q16.26",NA,NA,NA,NA,NA,NA
"Q16.27",0.11,NA,NA,NA,NA,NA
"Q17",0.37,NA,-0.31,NA,-0.12,NA
"Q18",-0.2,NA,NA,NA,0.19,NA
